,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,cv
open,372.0,10.938198924731182,0.8439652483225829,9.05,10.3,11.04,11.5525,13.43,-0.17616088907023852,-0.3606911850302419,7.715760648806487
high,372.0,11.049838709677418,0.8553563440245361,9.18,10.38,11.16,11.6525,13.43,-0.12487843963284032,-0.3325996433763456,7.740894383149841
low,372.0,10.853682795698925,0.8300272047142478,8.96,10.217500000000001,10.99,11.4725,12.89,-0.28248513109740997,-0.48351881036092026,7.647424568582098
close,372.0,10.954166666666666,0.8366923094333243,9.09,10.325,11.085,11.5525,13.18,-0.2071044894786387,-0.44217994435095065,7.638119218866407
pre_close,372.0,10.941989247311827,0.836112374534086,9.09,10.307500000000001,11.07,11.55,13.18,-0.20861470496459764,-0.45631796357752874,7.6413196507161425
change,372.0,0.012177419354838707,0.16581365413753962,-1.2,-0.07,0.005,0.09,0.98,0.003733028321349495,12.759728974781206,1361.6485505334383
pct_chg,372.0,0.12249381720430108,1.4856430905306477,-9.3168,-0.5982000000000001,0.0425,0.827175,9.9796,0.6069073050782098,11.306405764513906,1212.831083590791
vol,372.0,1320700.0346505377,753730.3443328919,353013.46,864398.185,1108878.7149999999,1528486.865,5888977.78,2.6830665722142757,9.962699704556893,57.07051749508978
amount,372.0,1458609.3164677422,883746.661482794,353251.351,933270.27775,1232555.1570000001,1666095.71325,7602664.024,2.882282083738673,12.034698639232978,60.58830500431254
