date,open,high,low,close,volume,amount,name,ticker
2023-07-03,32.95,34.53,32.95,33.68,2016505.52,6819137.23,立讯精密,002475.SZ
2023-07-04,33.12,34.37,32.89,34.01,970044.76,3288509.284,立讯精密,002475.SZ
2023-07-05,34.0,34.2,33.39,33.69,627262.68,2118216.766,立讯精密,002475.SZ
2023-07-06,33.38,33.74,32.71,33.25,868298.63,2878623.77,立讯精密,002475.SZ
2023-07-07,33.25,33.59,32.69,33.31,445792.32,1478959.731,立讯精密,002475.SZ
2023-07-10,33.21,33.5,32.48,32.65,581552.25,1907192.526,立讯精密,002475.SZ
2023-07-11,32.81,33.47,32.7,33.24,483946.01,1605051.509,立讯精密,002475.SZ
2023-07-12,33.13,33.54,32.63,32.75,418709.09,1383017.985,立讯精密,002475.SZ
2023-07-13,32.95,34.69,32.91,34.42,893638.86,3043283.616,立讯精密,002475.SZ
2023-07-14,34.35,34.83,34.0,34.17,530699.73,1822575.143,立讯精密,002475.SZ
2023-07-17,34.19,35.2,34.0,34.06,715497.61,2476979.933,立讯精密,002475.SZ
2023-07-18,34.4,35.32,33.93,34.34,719885.94,2488542.06,立讯精密,002475.SZ
2023-07-19,33.9,34.4,33.23,33.56,632828.89,2122759.899,立讯精密,002475.SZ
2023-07-20,33.75,33.94,32.24,32.37,745446.0,2441432.083,立讯精密,002475.SZ
2023-07-21,32.36,32.5,31.7,32.01,571251.39,1829495.915,立讯精密,002475.SZ
2023-07-24,31.85,32.64,31.57,32.03,357110.05,1149487.81,立讯精密,002475.SZ
2023-07-25,32.65,32.9,31.92,32.06,547523.77,1765608.318,立讯精密,002475.SZ
2023-07-26,31.8,32.28,31.4,32.07,419851.66,1339344.924,立讯精密,002475.SZ
2023-07-27,32.05,32.22,31.21,31.36,587807.34,1851412.56,立讯精密,002475.SZ
2023-07-28,31.32,32.04,31.15,31.82,509156.97,1611712.019,立讯精密,002475.SZ
2023-07-31,31.65,32.8,31.65,32.32,687804.58,2219041.702,立讯精密,002475.SZ
2023-08-01,32.35,33.75,31.94,33.25,867630.95,2869497.196,立讯精密,002475.SZ
2023-08-02,33.03,33.77,32.92,33.35,415192.39,1386553.978,立讯精密,002475.SZ
2023-08-03,33.05,34.89,33.05,33.83,740959.59,2526765.257,立讯精密,002475.SZ
2023-08-04,33.81,34.48,33.58,33.74,383774.06,1299698.434,立讯精密,002475.SZ
2023-08-07,33.37,34.38,32.93,34.13,498211.42,1687684.145,立讯精密,002475.SZ
2023-08-08,34.07,35.58,34.06,34.82,757845.22,2642767.649,立讯精密,002475.SZ
2023-08-09,34.6,34.72,33.8,34.18,374495.32,1280822.663,立讯精密,002475.SZ
2023-08-10,34.03,34.37,33.73,33.99,345246.4,1171896.1,立讯精密,002475.SZ
2023-08-11,34.25,34.3,33.0,33.1,493597.86,1652252.575,立讯精密,002475.SZ
2023-08-14,32.67,33.0,31.9,32.55,701655.77,2270142.22,立讯精密,002475.SZ
2023-08-15,33.0,33.35,32.1,32.5,422185.08,1377674.103,立讯精密,002475.SZ
2023-08-16,32.32,32.48,31.71,31.84,433186.74,1382530.716,立讯精密,002475.SZ
2023-08-17,31.69,31.97,31.25,31.86,433661.5,1371932.96,立讯精密,002475.SZ
2023-08-18,31.84,31.88,31.0,31.01,436750.57,1370024.265,立讯精密,002475.SZ
2023-08-21,31.02,31.15,30.31,30.33,415481.52,1271154.508,立讯精密,002475.SZ
2023-08-22,30.6,32.1,30.22,31.71,581936.94,1812296.292,立讯精密,002475.SZ
2023-08-23,31.55,31.7,31.0,31.14,397445.39,1244168.012,立讯精密,002475.SZ
2023-08-24,31.46,32.06,31.21,31.45,526265.14,1668216.277,立讯精密,002475.SZ
2023-08-25,31.11,31.45,30.63,31.0,319078.35,989199.899,立讯精密,002475.SZ
2023-08-28,33.59,33.59,31.78,32.06,628660.13,2033021.852,立讯精密,002475.SZ
2023-08-29,31.83,32.98,31.66,32.39,767478.38,2486578.805,立讯精密,002475.SZ
2023-08-30,32.7,33.6,32.7,32.9,612803.04,2031951.229,立讯精密,002475.SZ
2023-08-31,32.9,33.1,32.5,33.0,396282.9,1301641.366,立讯精密,002475.SZ
2023-09-01,33.13,33.24,32.5,32.7,252199.91,828312.34,立讯精密,002475.SZ
2023-09-04,32.88,33.32,32.7,33.13,388970.09,1284768.35,立讯精密,002475.SZ
2023-09-05,33.04,33.1,31.12,31.32,915975.22,2901934.089,立讯精密,002475.SZ
2023-09-06,31.27,31.38,30.71,31.24,397710.86,1237450.81,立讯精密,002475.SZ
