date,equity,returns
2023-07-03,100000.0,0.0
2023-07-04,100000.0,0.0
2023-07-05,100000.0,0.0
2023-07-06,100000.0,0.0
2023-07-07,100000.0,0.0
2023-07-10,100000.0,0.0
2023-07-11,100000.0,0.0
2023-07-12,100000.0,0.0
2023-07-13,100000.0,0.0
2023-07-14,100000.0,0.0
2023-07-17,100000.0,0.0
2023-07-18,100000.0,0.0
2023-07-19,100000.0,0.0
2023-07-20,100000.0,0.0
2023-07-21,100000.0,0.0
2023-07-24,100000.0,0.0
2023-07-25,100000.0,0.0
2023-07-26,100000.0,0.0
2023-07-27,100000.0,0.0
2023-07-28,100000.0,0.0
2023-07-31,100000.0,0.0
2023-08-01,100000.0,0.0
2023-08-02,100000.0,0.0
2023-08-03,100000.0,0.0
2023-08-04,100000.0,0.0
2023-08-07,100000.0,0.0
2023-08-08,100000.0,0.0
2023-08-09,100000.0,0.0
2023-08-10,100000.0,0.0
2023-08-11,100000.0,0.0
2023-08-14,100000.0,0.0
2023-08-15,100000.0,0.0
2023-08-16,100000.0,0.0
2023-08-17,100000.0,0.0
2023-08-18,100000.0,0.0
2023-08-21,100000.0,0.0
2023-08-22,100000.0,0.0
2023-08-23,100000.0,0.0
2023-08-24,100000.0,0.0
2023-08-25,100000.0,0.0
2023-08-28,100000.0,0.0
2023-08-29,100000.0,0.0
2023-08-30,100000.0,0.0
2023-08-31,100000.0,0.0
2023-09-01,100000.0,0.0
2023-09-04,100000.0,0.0
2023-09-05,100000.0,0.0
2023-09-06,100000.0,0.0
2023-09-07,100000.0,0.0
2023-09-08,100000.0,0.0
2023-09-11,100000.0,0.0
2023-09-12,100000.0,0.0
2023-09-13,100000.0,0.0
2023-09-14,100000.0,0.0
2023-09-15,100000.0,0.0
2023-09-18,100000.0,0.0
2023-09-19,100000.0,0.0
2023-09-20,100000.0,0.0
2023-09-21,100000.0,0.0
2023-09-22,100000.0,0.0
2023-09-25,100000.0,0.0
2023-09-26,100000.0,0.0
2023-09-27,100000.0,0.0
2023-09-28,100000.0,0.0
2023-10-09,100000.0,0.0
2023-10-10,100000.0,0.0
2023-10-11,99870.13960072961,-0.0012986039927038728
2023-10-12,98987.89960072964,-0.008833871701061757
2023-10-13,97664.53960072962,-0.013368906758682852
2023-10-16,96252.95560072962,-0.014453393276319226
2023-10-17,96341.17960072964,0.0009165848409473654
2023-10-18,93660.79498976322,-0.027821795644135117
2023-10-19,93660.79498976322,0.0
2023-10-20,93660.79498976322,0.0
2023-10-23,93660.79498976322,0.0
2023-10-24,93660.79498976322,0.0
2023-10-25,93660.79498976322,0.0
2023-10-26,93660.79498976322,0.0
2023-10-27,93660.79498976322,0.0
2023-10-30,93660.79498976322,0.0
2023-10-31,93660.79498976322,0.0
2023-11-01,93660.79498976322,0.0
2023-11-02,93660.79498976322,0.0
2023-11-03,93660.79498976322,0.0
2023-11-06,93660.79498976322,0.0
2023-11-07,93660.79498976322,0.0
2023-11-08,93660.79498976322,0.0
2023-11-09,93660.79498976322,0.0
2023-11-10,93660.79498976322,0.0
2023-11-13,93660.79498976322,0.0
2023-11-14,93660.79498976322,0.0
2023-11-15,93660.79498976322,0.0
2023-11-16,93660.79498976322,0.0
2023-11-17,93660.79498976322,0.0
2023-11-20,93660.79498976322,0.0
2023-11-21,93660.79498976322,0.0
2023-11-22,93660.79498976322,0.0
2023-11-23,93660.79498976322,0.0
2023-11-24,93660.79498976322,0.0
2023-11-27,93660.79498976322,0.0
2023-11-28,93660.79498976322,0.0
2023-11-29,93660.79498976322,0.0
2023-11-30,93660.79498976322,0.0
2023-12-01,93660.79498976322,0.0
2023-12-04,93660.79498976322,0.0
2023-12-05,93660.79498976322,0.0
2023-12-06,93660.79498976322,0.0
2023-12-07,93660.79498976322,0.0
2023-12-08,93660.79498976322,0.0
