date,type,price,shares,capital_after,pnl
2023-10-11,buy,1.1331319999999998,88224,99970.00916872961,
2023-10-18,sell,1.061937,88224,93660.79498976322,-6281.107679999986
2024-02-19,buy,1.0450439999999999,89596,93632.70546109602,
2024-03-26,sell,1.151847,89596,103170.86678395243,9569.121588000009
2024-04-29,buy,1.2052039999999997,85578,103139.92509957883,
2024-05-24,sell,1.121877,85578,95980.16469660707,-7130.958005999972
2024-06-14,buy,1.197196,80146,95951.37955542227,
2024-07-24,sell,1.113885,80146,89247.55412125928,-6677.043405999997
2024-09-24,buy,1.0830819999999999,82376,89220.78813240968,
2024-11-25,sell,1.3096889999999999,82376,107855.40028209049,18666.978231999994
2024-12-26,buy,1.4574559999999999,73980,107823.05350362649,
2025-01-02,sell,1.31868,73980,97527.1382397065,-10266.648479999989
2025-02-21,buy,1.4724709999999999,66213,97497.88922300961,
2025-02-28,sell,1.326672,66213,87817.74715606883,-9653.789186999988
2025-05-08,buy,1.2542529999999998,69994,87791.41010072423,
2025-05-23,sell,1.20879,69994,84583.89046454626,-3182.1372219999757
2025-06-05,buy,1.297296,65180,84558.52313856226,
2025-10-13,sell,2.596401,65180,169183.41701340827,84675.66390000001
2025-10-27,buy,2.9159129999999993,58003,169132.67750288657,
2025-11-14,sell,2.538459,58003,147195.04166967352,-21893.46436199994
2025-12-08,buy,2.9439409999999997,49984,147150.89668559033,
2026-01-20,sell,3.053943,49984,152603.4421675167,5498.339967999986
2026-01-30,buy,3.2742709999999997,46592,152557.6757171871,
2026-02-03,sell,1.082916,46592,50442.92699050554,-102099.61215999998
2026-04-08,buy,1.197196,42121,50427.79886269074,
2026-07-02,sell,1.574424,42121,66297.12455669953,15889.220587999996
