date,type,price,shares,capital_after,pnl
2023-08-07,buy,1.2252239999999999,81593,99970.00908945041,
2023-08-11,sell,1.133865,81593,92487.99956836691,-7454.254887000003
2023-09-04,buy,1.122121,82397,92460.26174715582,
2023-09-11,sell,1.109889,82397,91424.94618597592,-1007.8801040000108
2023-09-12,buy,1.11111,82257,91397.52721339492,
2023-09-13,sell,1.082916,82257,89051.65012897132,-2319.153858000005
2023-09-27,buy,1.1021009999999998,80777,89024.94280522822,
2023-10-18,sell,1.061937,80777,85754.88135171353,-3244.3274279999896
2023-11-07,buy,1.055054,81255,85729.16282788254,
2023-11-24,sell,1.0239749999999999,81255,83178.87775629503,-2525.324145000006
2023-12-12,buy,1.06106,78368,83153.93181127103,
2023-12-19,sell,1.019979,78368,79910.51588898944,-3219.4358079999947
2024-01-04,buy,0.9849839999999999,81104,79886.55004628864,
2024-01-05,sell,0.957042,81104,77597.05609797826,-2266.207967999988
2024-01-24,buy,0.9579569999999998,80978,77573.78406539446,
2024-01-31,sell,0.85914,80978,69550.90960771847,-8002.003025999991
2024-02-19,buy,1.0450439999999999,66533,69530.05063398287,
2024-03-26,sell,1.151847,66533,76612.9838820476,7105.923999000021
2024-04-18,buy,1.1561549999999998,66245,76590.0070356551,
2024-04-22,sell,1.102896,66245,73039.94617699912,-3528.1424549999792
2024-04-26,buy,1.184183,61661,73018.04080461022,
2024-05-15,sell,1.143855,61661,70510.21662366373,-2486.6648080000014
2024-05-22,buy,1.168167,60341,70489.07011417963,
2024-05-24,sell,1.121877,60341,67675.57667016254,-2793.1848899999895
2024-06-14,buy,1.197196,56511,67655.28024721575,
2024-06-28,sell,1.176822,56511,66483.97411680316,-1151.3551139999909
2024-07-10,buy,1.2322309999999999,53937,66464.03526376907,
2024-07-18,sell,1.1578410000000001,53937,62432.926692763984,-4012.373429999985
2024-08-21,buy,1.0580569999999998,58989,62414.20257545209,
2024-08-26,sell,1.026972,58989,60562.3554950597,-1833.6730649999881
2024-09-18,buy,1.0140129999999998,59707,60544.192392802404,
2024-11-19,sell,1.385613,59707,82706.4943541851,22187.1212
2024-12-11,buy,1.3643629999999998,60600,82681.6902348451,
2025-01-03,sell,1.280718,60600,77589.51978160511,-5068.886999999988
2025-01-20,buy,1.363362,56893,77566.2500553253,
2025-03-03,sell,1.305693,56893,74263.0022007706,-3280.9624170000025
2025-03-18,buy,1.3793779999999998,53821,74240.7303497692,
2025-03-24,sell,1.306692,53821,70307.59890272963,-3912.0332059999782
2025-04-23,buy,1.1731719999999999,59911,70286.51313042203,
2025-05-23,sell,1.20879,59911,72398.69718311503,2133.909998000003
2025-06-04,buy,1.257256,57567,72376.98424626944,
2025-09-10,sell,2.449548,57567,140971.35387135466,68636.673564
2025-09-11,buy,2.6996969999999996,52201,140929.07580642556,
2025-10-13,sell,2.596401,52201,135496.2608918453,-5392.154495999974
2025-10-24,buy,2.7807779999999998,48711,135455.6245486979,
2025-11-06,sell,2.759238,48711,134366.06803603252,-1049.2349399999948
2025-12-01,buy,2.7537509999999994,48779,134325.77047002382,
2026-01-21,sell,3.08691,48779,150531.76041615687,16251.162861000048
2026-01-28,buy,3.2032,46980,150486.61451535687,
2026-02-03,sell,1.082916,46980,50860.40957725289,-99610.94231999997
2026-03-03,buy,1.0830819999999999,46944,50845.15631683049,
2026-03-09,sell,1.050948,46944,49321.8571099569,-1508.4984959999929
2026-03-11,buy,1.1041029999999998,44658,49307.0650004247,
2026-03-13,sell,1.0769220000000002,44658,48078.78794762191,-1213.8490979999915
2026-03-16,buy,1.0800789999999998,44500,48064.368892971914,
2026-03-17,sell,1.022976,44500,45509.62866337193,-2541.083499999986
2026-03-30,buy,1.085084,41928,45495.98004278633,
2026-07-02,sell,1.574424,41928,65993.22382794475,20517.047520000007
