date,equity,returns
2023-07-03,100000.0,0.0
2023-07-04,100000.0,0.0
2023-07-05,100000.0,0.0
2023-07-06,100000.0,0.0
2023-07-07,100000.0,0.0
2023-07-10,100000.0,0.0
2023-07-11,100000.0,0.0
2023-07-12,100000.0,0.0
2023-07-13,100000.0,0.0
2023-07-14,100000.0,0.0
2023-07-17,100000.0,0.0
2023-07-18,100000.0,0.0
2023-07-19,100000.0,0.0
2023-07-20,100000.0,0.0
2023-07-21,100000.0,0.0
2023-07-24,100000.0,0.0
2023-07-25,100000.0,0.0
2023-07-26,100000.0,0.0
2023-07-27,100000.0,0.0
2023-07-28,100000.0,0.0
2023-07-31,100000.0,0.0
2023-08-01,100000.0,0.0
2023-08-02,100000.0,0.0
2023-08-03,100000.0,0.0
2023-08-04,100000.0,0.0
2023-08-07,99870.13925745041,-0.0012986074254958124
2023-08-08,98238.27925745041,-0.016339819010298018
2023-08-09,95300.93125745041,-0.029900238707379678
2023-08-10,93995.44325745042,-0.013698585971560928
2023-08-11,92487.99956836691,-0.0160374124196071
2023-08-14,92487.99956836691,0.0
2023-08-15,92487.99956836691,0.0
2023-08-16,92487.99956836691,0.0
2023-08-17,92487.99956836691,0.0
2023-08-18,92487.99956836691,0.0
2023-08-21,92487.99956836691,0.0
2023-08-22,92487.99956836691,0.0
2023-08-23,92487.99956836691,0.0
2023-08-24,92487.99956836691,0.0
2023-08-25,92487.99956836691,0.0
2023-08-28,92487.99956836691,0.0
2023-08-29,92487.99956836691,0.0
2023-08-30,92487.99956836691,0.0
2023-08-31,92487.99956836691,0.0
2023-09-01,92487.99956836691,0.0
2023-09-04,92367.89471015582,-0.0012985993725846967
2023-09-05,90802.35171015582,-0.01694899515586623
2023-09-06,91131.93971015583,0.0036297297789384952
2023-09-07,88824.82371015582,-0.025316217424294574
2023-09-08,89401.60271015581,0.006493443790916764
2023-09-11,91424.94618597592,0.022632071623815087
2023-09-12,91306.22194339492,-0.0012985978940527332
2023-09-13,89051.65012897132,-0.024692422558249327
2023-09-14,89051.65012897132,0.0
2023-09-15,89051.65012897132,0.0
2023-09-18,89051.65012897132,0.0
2023-09-19,89051.65012897132,0.0
2023-09-20,89051.65012897132,0.0
2023-09-21,89051.65012897132,0.0
2023-09-22,89051.65012897132,0.0
2023-09-25,89051.65012897132,0.0
2023-09-26,89051.65012897132,0.0
2023-09-27,88936.00732822824,-0.0012986036819711
2023-09-28,90228.43932822824,0.014532156758849446
2023-10-09,89824.55432822825,-0.004476249428750134
2023-10-10,90389.99332822824,0.006294926863024797
2023-10-11,91440.09432822824,0.011617447477696219
2023-10-12,90632.32432822825,-0.008833871027084328
2023-10-13,89420.66932822824,-0.013368905729615466
2023-10-16,88128.23732822824,-0.014453392148698785
2023-10-17,88209.01432822825,0.0009165847683889616
2023-10-18,85754.88135171353,-0.02782179344372704
2023-10-19,85754.88135171353,0.0
2023-10-20,85754.88135171353,0.0
2023-10-23,85754.88135171353,0.0
2023-10-24,85754.88135171353,0.0
2023-10-25,85754.88135171353,0.0
2023-10-26,85754.88135171353,0.0
2023-10-27,85754.88135171353,0.0
2023-10-30,85754.88135171353,0.0
2023-10-31,85754.88135171353,0.0
2023-11-01,85754.88135171353,0.0
2023-11-02,85754.88135171353,0.0
2023-11-03,85754.88135171353,0.0
2023-11-06,85754.88135171353,0.0
2023-11-07,85643.52005788255,-0.0012986000572288159
2023-11-08,85481.01005788255,-0.0018975165884139722
2023-11-09,85806.03005788254,0.0038022480054915597
2023-11-10,85155.99005788255,-0.007575691353643665
2023-11-13,87431.13005788255,0.02671732192243348
2023-11-14,87999.91505788254,0.00650552039786545
2023-11-15,87918.66005788255,-0.0009233531639950554
2023-11-16,86293.56005788254,-0.018484130660431974
2023-11-17,87918.66005788255,0.018832228023851982
