date,equity,returns
2023-07-03,100000.0,0.0
2023-07-04,100000.0,0.0
2023-07-05,100000.0,0.0
2023-07-06,100000.0,0.0
2023-07-07,100000.0,0.0
2023-07-10,100000.0,0.0
2023-07-11,100000.0,0.0
2023-07-12,100000.0,0.0
2023-07-13,100000.0,0.0
2023-07-14,100000.0,0.0
2023-07-17,100000.0,0.0
2023-07-18,100000.0,0.0
2023-07-19,100000.0,0.0
2023-07-20,100000.0,0.0
2023-07-21,100000.0,0.0
2023-07-24,100000.0,0.0
2023-07-25,100000.0,0.0
2023-07-26,100000.0,0.0
2023-07-27,100000.0,0.0
2023-07-28,100000.0,0.0
2023-07-31,100000.0,0.0
2023-08-01,100000.0,0.0
2023-08-02,100000.0,0.0
2023-08-03,99870.144032152,-0.0012985596784799158
2023-08-04,99604.46403215203,-0.0026602544992270216
2023-08-07,100755.74403215203,0.0115585180964215
2023-08-08,102792.62403215202,0.02021601864554734
2023-08-09,100903.34403215202,-0.01837952886005767
2023-08-10,100342.46403215203,-0.0055585868375310765
2023-08-11,97715.18403215201,-0.026183132189759428
2023-08-14,96091.58403215201,-0.016615636720960225
2023-08-15,95943.98403215202,-0.001536034622455662
2023-08-16,93873.50304565602,-0.021580102258440204
2023-08-17,93873.50304565602,0.0
2023-08-18,93873.50304565602,0.0
2023-08-21,93873.50304565602,0.0
2023-08-22,93873.50304565602,0.0
2023-08-23,93873.50304565602,0.0
2023-08-24,93873.50304565602,0.0
2023-08-25,93873.50304565602,0.0
2023-08-28,93873.50304565602,0.0
2023-08-29,93873.50304565602,0.0
2023-08-30,93873.50304565602,0.0
2023-08-31,93751.63892965604,-0.0012981737342934174
2023-09-01,92899.63892965605,-0.009087841127121576
2023-09-04,94120.83892965605,0.013145368637274224
2023-09-05,88980.43892965604,-0.05461489781069462
2023-09-06,88753.23892965603,-0.002553370187121984
2023-09-07,84950.72595853603,-0.04284365299765336
2023-09-08,84950.72595853603,0.0
2023-09-11,84950.72595853603,0.0
2023-09-12,84950.72595853603,0.0
2023-09-13,84950.72595853603,0.0
2023-09-14,84950.72595853603,0.0
2023-09-15,84950.72595853603,0.0
2023-09-18,84950.72595853603,0.0
2023-09-19,84950.72595853603,0.0
2023-09-20,84950.72595853603,0.0
2023-09-21,84950.72595853603,0.0
2023-09-22,84950.72595853603,0.0
2023-09-25,84950.72595853603,0.0
2023-09-26,84840.42888223704,-0.0012983653177116583
2023-09-27,85526.10888223704,0.00808199591908898
2023-09-28,85211.83888223705,-0.0036745504280185637
2023-10-09,89183.06888223704,0.04660420490969863
2023-10-10,88468.81888223704,-0.008008807153105924
2023-10-11,90925.83888223705,0.027772722989221732
2023-10-12,91725.79888223704,0.008797939175860359
2023-10-13,91297.24888223704,-0.0046720770516286425
2023-10-16,90925.83888223705,-0.004068140108789753
2023-10-17,90440.14888223704,-0.0053416059282009876
2023-10-18,90582.99888223704,0.0015794976209735356
2023-10-19,88611.66888223705,-0.021762693047542303
2023-10-20,87754.56888223704,-0.00967254099614212
2023-10-23,90354.43888223704,0.02962660557866692
2023-10-24,89554.47888223705,-0.008853577199927187
2023-10-25,88924.51423347305,-0.007034429284015986
2023-10-26,88924.51423347305,0.0
2023-10-27,88924.51423347305,0.0
2023-10-30,88809.03768518707,-0.001298590712374259
2023-10-31,86153.74768518706,-0.029898871434825836
2023-11-01,84760.37768518706,-0.01617306312769451
2023-11-02,82867.49768518706,-0.022332132674425464
2023-11-03,84129.41768518706,0.01522816587021869
2023-11-06,87547.11768518706,0.040624315418288814
2023-11-07,86364.06768518707,-0.013513294683831223
2023-11-08,85706.81768518707,-0.007610225150531336
2023-11-09,83919.09768518707,-0.020858550676406407
2023-11-10,85207.30768518704,0.015350617863320482
2023-11-13,84181.99768518706,-0.012033122837165178
2023-11-14,83731.26238383006,-0.0053542956184361445
