date,type,price,shares,capital_after,pnl
2023-07-21,buy,38.017979999999994,2629,99970.015219174,
2023-07-26,sell,37.042919999999995,2629,97377.36672817002,-2563.4327399999893
2023-09-01,buy,33.25321999999999,2927,97348.16707568802,
2023-09-18,sell,29.86011,2927,87390.31394309703,-9931.632969999991
2023-10-11,buy,32.05202,2725,87364.11141674704,
2023-10-19,sell,28.541430000000002,2725,77774.42104772205,-9566.357749999996
2023-11-06,buy,31.261229999999998,2487,77751.09704401904,
2023-11-27,sell,35.42454,2487,88078.81876472505,10354.151970000006
2023-12-12,buy,37.537499999999994,2345,88052.41113347505,
2023-12-19,sell,35.0649,2345,82229.49597632507,-5798.2469999999885
2024-02-21,buy,27.887859999999996,2947,82204.84031929907,
2024-03-27,sell,37.0629,2947,109210.91588940908,27038.84288000001
2024-04-03,buy,42.30226,2580,109178.17394016909,
2024-04-10,sell,37.65231,2580,97152.1600522291,-11996.871
2024-04-30,buy,37.05702,2620,97123.0332345091,
2024-05-10,sell,35.61435,2620,93315.24495540911,-3779.795399999988
2024-06-03,buy,36.30627,2569,93287.26371312012,
2024-06-07,sell,33.14682,2569,85145.09040894613,-8116.6270499999955
2024-06-19,buy,35.3353,2408,85119.56418822613,
2024-06-24,sell,30.589380000000002,2408,73669.29106011413,-11428.175359999994
2024-07-12,buy,31.531499999999998,2335,73647.20324436414,
2024-07-24,sell,27.972,2335,65316.17635836415,-8311.432499999988
2024-08-30,buy,26.55653,2458,65296.593573142156,
2024-09-06,sell,24.34563,2458,59844.248905580156,-5434.392200000002
2024-09-27,buy,27.837809999999994,2149,59826.30186947316,
2024-11-04,sell,31.6683,2149,68037.60832646317,8231.723010000009
2024-11-13,buy,33.883849999999995,2007,68017.20686037818,
2024-11-18,sell,29.870099999999997,2007,59943.62582316819,-8055.596249999988
2024-12-06,buy,29.94992,2000,59925.655871168194,
2024-12-18,sell,29.19078,2000,58389.861403168194,-1518.2799999999988
2024-12-24,buy,29.73971,1962,58372.356609862196,
2024-12-31,sell,28.461509999999997,1962,55847.77576507619,-2507.828400000006
2025-01-17,buy,28.138109999999998,1984,55831.02796200419,
2025-03-25,sell,36.45351,1984,72307.08443285219,16497.753600000004
2025-04-24,buy,29.589559999999995,2442,72285.4071211962,
2025-05-19,sell,29.65032,2442,72412.06121676421,148.37592000000586
2025-06-06,buy,32.032,2259,72390.35313036421,
2025-07-02,sell,34.155809999999995,2259,77164.89252792722,4797.686790000007
2025-07-30,buy,34.034,2266,77141.75621472723,
2025-11-20,sell,145.7541,2266,330200.4191775473,253157.7466
2025-12-10,buy,143.12297999999998,2306,330101.4066999833,
2025-12-19,sell,133.0668,2306,306819.80000774335,-23189.551079999947
2025-12-23,buy,136.92678999999998,2240,306727.78520486335,
2026-01-23,sell,157.71213,2240,353180.96425350336,46559.16159999999
2026-01-30,buy,168.72856,2092,353075.07020924735,
2026-02-03,sell,153.37647,2092,320862.2388566754,-32116.572279999964
2026-02-27,buy,149.12897999999998,2150,320766.0506645754,
2026-03-25,sell,148.29156,2150,318869.94960837543,-1800.4529999999795
2026-04-13,buy,152.152,2095,318774.3220763754,
2026-05-22,sell,187.50231,2095,392715.37632454047,74058.89945000003
2026-05-27,buy,192.91271999999998,2035,392597.60310898046,
2026-06-01,sell,166.92291,2035,339606.4333224255,-52889.263349999965
2026-06-15,buy,204.49428999999998,1660,339504.59516600554,
2026-07-07,sell,244.08567000000002,1660,405104.7313023456,65721.69080000004
